Date,SNP,RDSA.AS,ROSN.ME,BP,XOM
2013-01-02,54.62696838378906,19.53210625084807,3.651727116163029,25.815168380737305,64.100830078125
2013-01-03,54.50687026977539,19.681320964280605,3.651727116163029,26.332441329956055,63.985225677490234
2013-01-04,54.733211517333984,19.763392319109137,3.651727116163029,26.56977653503418,64.2814712524414
2013-01-07,54.03109359741211,19.621629952215162,3.651727116163029,26.411558151245117,63.53721618652344
2013-01-08,53.80474090576172,19.543298752544352,2.509576960206785,26.411558151245117,63.93466567993164
2013-01-09,54.18352508544922,19.606713607564338,2.5096699408693617,26.941011428833008,63.6889533996582
2013-01-10,55.06578826904297,19.47615306362561,2.487837507847268,27.391334533691406,64.38262939453125
2013-01-11,55.0380859375,19.416460886402795,2.4750559435944783,27.068805694580078,64.75115203857422
2013-01-14,55.00114059448242,19.334396522518485,2.4911030952146462,26.983606338500977,64.7294921875
2013-01-15,54.76094055175781,19.442577888851496,2.464046336814411,27.04446792602539,64.693359375
2013-01-16,54.01723098754883,19.44630755759289,2.4403481464441317,26.825382232666016,64.64999389648438
2013-01-17,54.054195404052734,19.517187575882502,2.414131081252191,26.874055862426758,65.17748260498047
2013-01-18,54.820987701416016,19.63654862718073,2.4485582979890346,26.801040649414062,65.61102294921875
2013-01-22,55.53234100341797,19.66266213415732,2.47160357568906,26.61846923828125,65.69774627685547
2013-01-23,54.834842681884766,19.67012613226958,2.4744024165145597,26.941011428833008,65.53878784179688
2013-01-24,55.21823501586914,19.655207457304016,2.505004728286012,26.843647003173828,66.00845336914062
2013-01-25,56.04970169067383,19.7820441582882,2.543537635204971,26.73409652709961,66.28302764892578
2013-01-28,55.560062408447266,19.85291602047623,2.5697549052001336,26.98969841003418,65.8350601196289
2013-01-29,56.66404342651367,20.132693608162235,2.5273968885125613,27.5130558013916,66.30472564697266
2013-01-30,55.96193313598633,20.028239580255875,2.4938093649840125,27.33656120300293,65.51707458496094
2013-01-31,56.10050964355469,19.479882732367,2.4925029252338393,27.09314727783203,65.01130676269531
2013-02-01,56.031219482421875,19.278449161082875,2.4445470220920464,27.245288848876953,65.06187438964844
2013-02-04,51.998634338378906,19.073276599798398,2.4079730579870713,26.539356231689453,64.41878509521484
2013-02-05,52.580650329589844,18.987474411071105,2.4117053918963283,26.898412704467773,64.8450927734375
2013-02-06,53.04258728027344,18.950167237240862,2.393231936510633,26.770605087280273,64.88124084472656
2013-02-07,51.04244613647461,18.741276658788692,2.3867943568481174,26.265501022338867,64.17583465576172
2013-02-08,51.5598030090332,18.759927332810392,2.384834799624469,26.27159309387207,64.43762969970703
2013-02-11,51.130226135253906,18.711429987598603,2.398269481350734,26.174219131469727,64.19766998291016
2013-02-12,51.21797561645508,18.745005162372713,2.3681343257276035,26.37504768371582,64.32854461669922
2013-02-13,51.54594421386719,18.738498923618597,2.462087598803649,26.15936279296875,64.48126983642578
2013-02-14,51.36580276489258,18.708260759552182,2.4162770094074366,26.04227066040039,64.37217712402344
2013-02-15,51.70762252807617,18.51925126130444,2.3797966403747033,25.851240158081055,64.25584411621094
2013-02-19,52.26192855834961,18.753621501123913,2.383808530681356,25.610910415649414,64.95393371582031
2013-02-20,52.340450286865234,18.700698888220842,2.3501274120805653,25.142560958862305,64.69943237304688
2013-02-21,52.14183807373047,18.67801793485629,2.342290002398857,25.136404037475586,64.4230728149414
2013-02-22,52.081783294677734,18.87458697412064,2.351713613031355,25.777294158935547,64.86666870117188
2013-02-25,51.532081604003906,18.817882260394523,2.342290002398857,24.896074295043945,63.77589797973633
2013-02-26,51.89239501953125,18.742283354756378,2.3162595129417345,25.013158798217773,64.36490631103516
2013-02-27,52.5159912109375,18.83299901211299,2.3093555963437833,25.07477378845215,65.10667419433594
2013-02-28,52.45594024658203,19.03714157428238,2.276607151613864,24.896074295043945,65.12120819091797
2013-03-01,53.66155242919922,19.158102386649624,2.2567340710121973,24.85293960571289,65.03394317626953
2013-03-04,52.99177169799805,19.124082121760168,2.253655264182859,24.82828712463379,64.68488311767578
2013-03-05,53.08414077758789,19.32821769298534,2.2845375419581493,24.945371627807617,65.16482543945312
2013-03-06,53.361305236816406,19.2866332264498,2.310195494355299,25.08711051940918,65.12847137451172
2013-03-07,52.89014434814453,19.27907252027583,2.3167258498771703,25.05013656616211,64.51034545898438
2013-03-08,53.619972229003906,19.248823869793085,3.651727116163029,24.889909744262695,64.69943237304688
2013-03-11,53.40288162231445,19.207242898729657,2.317005815881009,25.019323348999023,64.83760070800781
2013-03-12,52.70537567138672,19.165666588295707,2.3181254750931415,24.902236938476562,64.83760070800781
2013-03-13,52.03097152709961,19.241265493933852,2.301052054529861,24.76666259765625,64.91033172607422
2013-03-14,52.529842376708984,19.43783686351294,2.2794995875116055,25.265810012817383,65.32482147216797
2013-03-15,52.33583450317383,19.184563110522475,2.262892094277317,25.315113067626953,64.99031829833984
2013-03-18,51.490516662597656,19.14676424028209,2.225945797915591,25.056297302246094,64.5539779663086
2013-03-19,51.73995590209961,19.203460797906615,2.2056057659688237,25.265810012817383,64.41582489013672
2013-03-20,52.9224853515625,19.211026164710066,2.2191346571769954,25.154884338378906,64.45216369628906
2013-03-21,51.56904602050781,19.14676424028209,2.260093253451817,25.198030471801758,64.11766815185547
2013-03-22,52.45131301879883,19.142986800088526,2.2167085582146897,25.882051467895508,64.93212890625
2013-03-25,53.14881134033203,19.04092017963331,2.254028415652496,25.857404708862305,64.73579406738281
2013-03-26,53.832462310791016,19.226141751271165,2.218294554362258,26.079242706298828,65.54296875
