Date,SNP,RDSA.AS,ROSN.ME,BP,XOM
2020-01-02,56.33012771606445,30.862578891944235,5.100749702156822,35.333946228027344,65.656494140625
2020-01-03,56.606163024902344,31.310202059409185,5.855675955625585,35.97318649291992,65.12865447998047
2020-01-06,57.0018196105957,31.56598206590253,5.839015213553697,36.91813659667969,65.62871551513672
2020-01-07,56.734981536865234,31.368331760598817,5.100749702156822,36.52904510498047,65.09160614013672
2020-01-08,55.91606903076172,31.188121530809365,5.79287714380625,35.97318649291992,64.1100082397461
2020-01-09,56.679771423339844,30.97303114999139,5.8979694592983725,36.09362030029297,64.6008071899414
2020-01-10,56.00808334350586,30.949776939200795,6.068423494124121,35.88980484008789,64.02665710449219
2020-01-13,56.04488754272461,30.79863272516353,6.1664664827310025,35.94539260864258,64.63784790039062
2020-01-14,55.32719039916992,30.74631482893549,6.094055436512136,35.963924407958984,64.08222198486328
2020-01-15,55.069549560546875,30.723060618144896,6.081239260514907,35.86201095581055,63.98035430908203
2020-01-16,55.59402084350586,30.792820920201937,6.163903575216711,35.98244857788086,63.73031997680664
2020-01-17,55.851661682128906,30.705620542630637,6.217730777113475,35.917598724365234,63.48955535888672
2020-01-21,53.83658218383789,30.228938350357723,6.230546953110704,35.50070571899414,62.582027435302734
2020-01-22,53.53293991088867,30.15336158270961,6.128017954739316,35.09307861328125,62.22086715698242
2020-01-23,53.15568923950195,30.00221736867234,6.063296859882652,35.3895378112793,61.83192443847656
2020-01-24,52.59441375732422,30.12429556695742,6.074831377319514,35.32468795776367,61.41520690917969
2020-01-27,50.86457443237305,29.577850742312727,6.001779297017242,34.68545150756836,59.95206069946289
2020-01-28,51.06700134277344,29.554596531522133,6.122251105627328,34.65766143798828,59.868717193603516
2020-01-29,50.81856918334961,29.362760361494754,6.1735154000098005,34.4353141784668,59.368656158447266
2020-01-30,50.183685302734375,28.17103973376666,6.167107516814408,34.30561447143555,59.99836730957031
2020-01-31,48.242218017578125,27.61297129919878,6.158135906891837,33.471832275390625,57.52582550048828
2020-02-03,47.71774673461914,26.915377599887336,6.151087399219482,32.63804626464844,56.23862838745117
2020-02-04,48.53665542602539,27.450198814608843,6.151728023696444,33.81460952758789,55.53483581542969
2020-02-05,49.50278854370117,27.903631456720646,6.113279495704758,34.89852523803711,58.09071350097656
2020-02-06,50.15607833862305,27.653660924874153,6.0953370950725025,34.166656494140625,57.3035774230957
2020-02-07,49.346370697021484,27.531580396274332,5.941544211925085,33.694175720214844,56.92390060424805
2020-02-10,49.41997528076172,27.299052270256837,5.767245201418235,33.52741622924805,56.322723388671875
2020-02-11,50.06406784057617,27.485076635322624,5.822354061875366,33.860931396484375,56.85814666748047
2020-02-12,50.68975067138672,27.909445591996977,5.969739061827391,34.4353141784668,57.553253173828125
2020-02-13,50.054866790771484,27.837615970450805,5.933854260562882,34.09605407714844,57.233882904052734
2020-02-14,49.98125457763672,27.547706174275223,5.901814025373032,33.92641830444336,56.97087097167969
2020-02-18,49.962852478027344,27.458953807087074,5.795440460926985,34.01123809814453,56.24757766723633
2020-02-19,50.2388916015625,27.571368190145318,5.967816778790062,34.16202163696289,56.67967224121094
2020-02-20,49.7236213684082,27.42345379233771,6.028693307572067,33.907569885253906,56.228790283203125
2020-02-21,49.59480285644531,26.902793900291265,5.917834142967957,33.323280334472656,55.54307174682617
2020-02-24,47.97537612915039,25.867388455008527,5.100749702156822,32.098167419433594,52.941104888916016
2020-02-25,47.312889099121094,25.399976254771385,5.688425862397533,31.033248901367188,50.91213607788086
2020-02-26,47.61653137207031,25.21064517308952,5.6865035793602035,30.797649383544922,49.7943229675293
2020-02-27,47.460113525390625,24.23440641905572,5.409034946005003,29.713890075683594,46.79783248901367
2020-02-28,47.423301696777344,22.968253208216858,5.17001484064149,29.487714767456055,48.31956100463867
2020-03-02,48.463043212890625,23.439214477803038,5.05595132483324,30.37356948852539,50.611549377441406
2020-03-03,47.607330322265625,23.57884693702464,5.203336734391708,30.0814266204834,48.188053131103516
2020-03-04,47.91096878051758,23.820241910627885,5.330857050674148,31.23115348815918,49.2401123046875
2020-03-05,47.15646743774414,23.275917672396602,5.262290570529941,30.722257614135742,47.07024002075195
2020-03-06,45.49103927612305,21.90326441730965,5.036086641163656,29.45001792907715,44.79703903198242
2020-03-09,43.08951187133789,18.074039969595407,5.100749702156822,23.82388687133789,39.320701599121094
2020-03-10,45.96950149536133,18.701198740732572,4.184456681905433,25.246912002563477,40.776676177978516
2020-03-11,44.46969985961914,18.253902982488597,4.0248961304331425,23.239599227905273,39.43341827392578
2020-03-12,41.46088790893555,15.352402466235816,3.5564677444992046,20.327579498291016,34.924598693847656
2020-03-13,43.91762161254883,15.14413757729134,3.5564677444992046,20.893020629882812,35.80757141113281
2020-03-16,42.077369689941406,13.889817704702267,3.5564677444992046,17.75482749938965,32.39778137207031
2020-03-17,43.11711502075195,14.240081487486826,3.193131264450947,17.75482749938965,34.57704544067383
2020-03-18,40.844398498535156,12.63313023233734,2.998967365471292,15.182073593139648,31.110883712768555
2020-03-19,38.77411651611328,13.357322144091293,3.3885768219909695,16.020809173583984,32.34141540527344
2020-03-20,39.767852783203125,14.01761449535934,3.6878326268563044,16.38834571838379,30.753936767578125
2020-03-23,40.421146392822266,14.472009557458767,3.5116113333121253,17.14226722717285,29.542190551757812
2020-03-24,41.48849105834961,17.721409752192365,3.8256058020152395,20.845901489257812,33.29014587402344
2020-03-25,43.37474822998047,19.032527551097154,3.9057063899898665,22.890911102294922,35.027923583984375
