Date,AAPL,AMZN,FB,GOOGL
2013-01-02,17.06525230407715,257.30999755859375,28.0,361.98699951171875
2013-01-03,16.849853515625,258.4800109863281,27.770000457763672,362.19720458984375
2013-01-04,16.380502700805664,259.1499938964844,28.760000228881836,369.3543395996094
2013-01-07,16.28414535522461,268.4599914550781,29.420000076293945,367.74273681640625
2013-01-08,16.327978134155273,266.3800048828125,29.059999465942383,367.01702880859375
2013-01-09,16.072786331176758,266.3500061035156,30.59000015258789,369.429443359375
2013-01-10,16.272029876708984,265.3399963378906,31.299999237060547,371.1111145019531
2013-01-11,16.172252655029297,267.94000244140625,31.719999313354492,370.3653564453125
2013-01-14,15.595674514770508,272.7300109863281,30.950000762939453,361.98699951171875
2013-01-15,15.103631973266602,271.8999938964844,30.100000381469727,362.82781982421875
2013-01-16,15.73056697845459,268.92999267578125,29.850000381469727,357.95294189453125
2013-01-17,15.624578475952148,270.4800109863281,30.139999389648438,356.0160217285156
2013-01-18,15.541274070739746,272.1199951171875,29.65999984741211,352.60760498046875
2013-01-22,15.689539909362793,270.19000244140625,30.729999542236328,351.7867736816406
2013-01-23,15.9767427444458,268.1099853515625,30.81999969482422,371.1211242675781
2013-01-24,14.002690315246582,273.4599914550781,31.079999923706055,377.48248291015625
2013-01-25,13.672592163085938,283.989990234375,31.540000915527344,377.21221923828125
2013-01-28,13.981864929199219,276.0400085449219,32.470001220703125,375.7407531738281
2013-01-29,14.2441987991333,260.3500061035156,30.790000915527344,377.21722412109375
2013-01-30,14.199442863464355,272.760009765625,31.239999771118164,377.29229736328125
2013-01-31,14.15778923034668,265.5,30.979999542236328,378.2232360839844
2013-02-01,14.099666595458984,265.0,29.729999542236328,388.1882019042969
2013-02-04,13.748432159423828,259.9800109863281,28.110000610351562,379.889892578125
2013-02-05,14.230834007263184,266.8900146484375,28.639999389648438,383.2532653808594
2013-02-06,14.215604782104492,262.2200012207031,29.049999237060547,385.470458984375
2013-02-07,14.638289451599121,260.2300109863281,28.649999618530273,387.36236572265625
2013-02-08,14.849627494812012,261.95001220703125,28.549999237060547,393.07806396484375
2013-02-11,15.004384994506836,257.2099914550781,28.260000228881836,391.6015930175781
2013-02-12,14.628279685974121,258.70001220703125,27.3700008392334,390.7407531738281
2013-02-13,14.600456237792969,269.4700012207031,27.90999984741211,391.8218078613281
2013-02-14,14.587326049804688,269.239990234375,28.5,394.3042907714844
2013-02-15,14.386302947998047,265.0899963378906,28.31999969482422,396.8418273925781
2013-02-19,14.380988121032715,269.75,28.93000030517578,403.8288269042969
2013-02-20,14.032709121704102,266.4100036621094,28.459999084472656,396.6266174316406
2013-02-21,13.945484161376953,265.94000244140625,27.280000686645508,398.1631774902344
2013-02-22,14.093985557556152,265.4200134277344,27.1299991607666,400.2552490234375
2013-02-25,13.843562126159668,259.8699951171875,27.270000457763672,395.7807922363281
2013-02-26,14.036462783813477,259.3599853515625,27.389999389648438,395.46044921875
2013-02-27,13.89890193939209,263.25,26.8700008392334,400.290283203125
2013-02-28,13.799795150756836,264.2699890136719,27.25,401.0010070800781
2013-03-01,13.458081245422363,265.739990234375,27.780000686645508,403.4985046386719
2013-03-04,13.13231372833252,273.1099853515625,27.719999313354492,411.1611633300781
2013-03-05,13.479028701782227,275.5899963378906,27.520000457763672,419.7197265625
2013-03-06,13.307701110839844,273.7900085449219,27.450000762939453,416.1061096191406
2013-03-07,13.461522102355957,273.8800048828125,28.579999923706055,416.7167053222656
2013-03-08,13.497162818908691,274.19000244140625,27.959999084472656,416.1761779785156
2013-03-11,13.689431190490723,271.239990234375,28.139999389648438,417.82781982421875
2013-03-12,13.394305229187012,274.1300048828125,27.829999923706055,414.2192077636719
2013-03-13,13.391803741455078,275.1000061035156,27.079999923706055,413.06805419921875
2013-03-14,13.521547317504883,265.739990234375,27.040000915527344,411.1811828613281
2013-03-15,13.870450019836426,261.82000732421875,26.649999618530273,407.55755615234375
2013-03-18,14.247493743896484,257.8900146484375,26.489999771118164,404.2992858886719
2013-03-19,14.209033966064453,256.4100036621094,26.549999237060547,406.0660705566406
2013-03-20,14.13369083404541,257.2799987792969,25.860000610351562,407.76275634765625
2013-03-21,14.154010772705078,253.38999938964844,25.739999771118164,406.0360412597656
2013-03-22,14.441015243530273,257.75,25.729999542236328,405.560546875
2013-03-25,14.493219375610352,256.0199890136719,25.1299991607666,405.2252197265625
2013-03-26,14.416938781738281,260.30999755859375,25.209999084472656,406.6166076660156
2013-03-27,14.13369083404541,265.29998779296875,26.09000015258789,401.7317199707031
2013-03-28,13.83918571472168,266.489990234375,25.579999923706055,397.49249267578125
2013-04-01,13.409314155578613,261.6099853515625,25.530000686645508,400.9960021972656
2013-04-02,13.436821937561035,263.32000732421875,25.420000076293945,406.92694091796875
2013-04-03,13.505603790283203,259.0299987792969,26.25,403.5035095214844
2013-04-04,13.37210750579834,259.0799865722656,27.06999969482422,397.93292236328125
2013-04-05,13.23079776763916,255.47999572753906,27.389999389648438,391.91693115234375
2013-04-08,13.324901580810547,258.95001220703125,26.850000381469727,387.81280517578125
2013-04-09,13.348971366882324,261.1400146484375,26.59000015258789,389.2142028808594
2013-04-10,13.6212797164917,264.7699890136719,27.56999969482422,395.4854736328125
2013-04-11,13.578758239746094,269.8500061035156,28.020000457763672,395.590576171875
2013-04-12,13.43713665008545,272.8699951171875,27.399999618530273,395.42041015625
2013-04-15,13.126063346862793,267.7200012207031,26.520000457763672,391.3563537597656
2013-04-16,13.325838088989258,272.3399963378906,26.920000076293945,397.08209228515625
